mmsi,shipname,imo,callsign,shiptype,shiptype_fishing,clav_TUVI,imo_rank,callsign_rank,name_rank,flag_match,date_range_match,clav_date_match,fishing_msg_ratio,clav_DateUpdated,rfmo_name,match_start,match_end,match_score
576397000,KAIHO MARU,8909680,YJQE4,Fish carriers,0,38103,1,1,1,1,1,1,,44:07.0,WCPFC,57:58.0,52:42.0,243936
256000325,Salve Regina,7521560,9H8798,Non-fishing vessels nei,0,30837,1,1,0,1,1,1,1,55:58.0,ICCAT,08:01.0,57:43.0,121240
576270000,HIKARI 1,,3EFB3,Fish carriers,0,23974,1,0,1,0,1,1,,31:21.0,IOTC,15:29.0,31:13.0,8297.3
224100530,GABRIELA Y MARIA,,EAMU,Longliners,1,8212,0,1,1,1,1,1,1,13:01.0,IOTC,00:10.0,06:27.0,34945.6
576276000,Shin Fuji,,YJQA4,Fish carriers,0,23982,1,1,0,1,1,0,,00:00.0,IATTC,32:23.0,02:09.0,14531
529578000,SATSUMA,,9V8759,Fish carriers,0,26933,1,0,0,0,0,1,,21:08.0,IOTC,49:17.0,28:17.0,12981
441720000,WIN DAR,9020780,3FHL7,Fish carriers,0,23967,1,0,0,0,0,1,,45:08.0,IOTC,13:10.0,29:43.0,3760
577132000,CHIKUMA,9666493,D5JI4,Fish carriers,0,24164,1,0,1,0,1,0,,26:55.0,ICCAT,29:42.0,24:31.0,5237.9
529346000,HOZAN MARU,,YJQB9,Fish carriers,0,23965,1,0,0,0,0,0,,32:59.0,IOTC,36:03.0,07:20.0,5256.75
356567000,SHANGHAI REEFER,9010785,HPXZ,Unknown,1,31501,1,1,1,0,1,1,,52:57.0,ICCAT,20:58.0,41:30.0,44795.1
273356760,HATSUKARI,,YJQL2,Fish carriers,0,23988,1,0,1,0,1,1,,05:54.0,WCPFC,31:58.0,53:44.0,17177.6
441720000,LAKE WIN,9020780,DSQW2,Fish carriers,0,23967,1,1,1,1,0,1,,58:29.0,WCPFC,21:23.0,29:43.0,29022.8
432288000,RIASU MARU,,JPYT,Fishery research vessels,0,15588,0,1,1,1,1,1,0.895319828,40:29.0,WCPFC,51:21.0,20:07.0,44123.2
238602140,NEMIRNA,7634616,9A2777,Non-fishing vessels nei,0,30700,0,1,1,1,1,1,,32:50.0,ICCAT,40:26.0,39:16.0,35062.4
577169000,TAISEI MARU 15,8710728,7JTK,,1,23977,1,0,0,0,0,0,,01:36.0,CCSBT,11:44.0,08:32.0,4298.75
576277000,SHIN IZU,9186936,YJQA5,Fish carriers,0,23981,1,1,1,1,1,1,,30:29.0,WCPFC,32:18.0,57:09.0,187869.2
577105000,RYOMA,9133305,YJTA9,Fish carriers,0,26898,1,1,1,1,1,1,,26:32.0,WCPFC,43:51.0,13:08.0,317552.8
576276000,SHIN FUJI,9140281,YJQA4,Fish carriers,0,23982,1,1,1,1,1,1,,45:07.0,WCPFC,32:23.0,02:09.0,244120.8
431254000,SHOUNAN MARU,,JDAI,Fishery research vessels,0,15619,0,1,0,1,0,1,1,11:25.0,WCPFC,08:31.0,04:22.0,42554
576277000,SHIN IZU,9186936,YJQA5,Fish carriers,0,23981,1,1,1,1,1,1,,14:22.0,ICCAT,32:18.0,57:09.0,187869.2
431028000,Hokuho Maru,,JLRE,Longliners,1,15586,0,1,0,1,0,0,,00:00.0,IATTC,24:28.0,55:53.0,9673.5
440182000,SEIWA,9021277,DSMA2,Longliners,1,26938,0,1,0,1,0,0,,44:18.0,CCSBT,40:31.0,30:54.0,10270
432322000,KAIHO MARU NO.5,,7MGG,Fishery research vessels,0,15706,0,1,0,1,0,1,1,42:20.0,WCPFC,01:33.0,23:37.0,34406
357788000,Victoria No. 168,8808252,3FTI9,Fish carriers,0,24156,1,1,0,0,1,1,,00:00.0,IATTC,11:32.0,24:39.0,50396
431919000,WAKATAKE MARU,,JLOV,Fishery research vessels,0,15585,0,1,1,1,1,1,,47:39.0,WCPFC,18:27.0,55:49.0,196279.2
432321000,Satuma Seiun Maru,9258258,JIQR,Longliners,1,15698,1,1,0,1,1,1,1,00:00.0,IATTC,41:41.0,53:44.0,93168
577132000,CHIKUMA,9666493,D5JI4,Fish carriers,0,24164,1,0,1,0,1,0,,01:30.0,ICCAT,29:42.0,24:31.0,5237.9
529578000,YUN RUN 3,,T3FZ2,Fish carriers,0,26933,1,1,1,1,1,1,,01:29.0,WCPFC,49:17.0,28:17.0,109040.4
224303000,ZAHARA TRES,9292735,ECHG,Support Vessels,0,8216,1,1,1,1,1,1,0.57123381,05:25.0,ICCAT,02:14.0,13:38.0,36968.4
256000325,MARCAL 2,,FPHH,Tuna purse seiners,1,30837,1,0,0,0,0,0,1,58:56.0,IOTC,08:01.0,57:43.0,3789.75
576276000,SHIN FUJI,,YJQA4,Fish carriers,0,23982,1,1,1,1,1,1,,26:01.0,IOTC,32:23.0,02:09.0,244120.8
431614000,Funakawa Maru,,JJIB,Longliners,1,15590,0,1,0,1,0,0,1,00:00.0,IATTC,39:47.0,35:33.0,997.75
441720000,Lake Win,9020780,DSQW2,Fish carriers,0,23967,1,1,0,1,0,1,,00:00.0,IATTC,21:23.0,29:43.0,27068
416833000,CHANG LI NO. 1,,BH3293,Longliners,1,5738,0,1,1,1,1,0,1,00:00.0,IATTC,10:05.0,33:45.0,268.675
576507000,ASIAN REX,,YJQH9,Fish carriers,0,23990,2,1,0,1,1,1,,54:39.0,ICCAT,31:14.0,43:07.0,26788
416730000,Lian Jyi Hsing,,BI2037,Fish carriers,0,23961,0,1,0,1,0,1,0.245853081,00:00.0,IATTC,34:45.0,54:00.0,12930
440182000,SEIWA,,DSMA2,Fish carriers,0,26938,0,1,0,1,0,0,,14:10.0,IOTC,40:31.0,30:54.0,10270
